cell,V_kV,Wsyn_MeV,Wout_pred_MeV,Wout_transoptr_MeV,dW_pred_MeV,dW_transoptr_MeV,Sig0T_deg,Sig0L_deg,A01,A10,Phi_deg,a_cm,m,B,L_cm,Z_cm,k_cm_inv,status
67,55.2,0.49618683112913514,0.5100898897827973,0.5100898897827973,0.01390305865366218,0.013903058653662204,341.3385889170715,37.28680551302589,5.600224332932016,0.28162568943688115,-63.422818791946305,0.35570469798657717,1.3543624161073826,3.442953020134228,3.007992234683913,111.99465304957002,1.0444151475410703,mock_ok
68,55.2,0.5100898897827973,0.5241309133188078,0.5241309133188078,0.014041023536010404,0.014041023536010444,340.643483564828,37.471353773263125,5.592633366493681,0.28543095998507884,-63.02013422818791,0.35503355704697986,1.359731543624161,3.4496644295302015,3.04980890568775,115.04446195525777,1.0300949176621756,mock_ok
69,55.2,0.5241309133188078,0.5383064965811124,0.5383064965811124,0.014175583262304626,0.014175583262304614,339.95505833379053,37.65047577694687,5.585126262400318,0.2892082370078858,-62.61744966442953,0.35436241610738256,1.3651006711409397,3.4563758389261743,3.0914646641101475,118.13592661936792,1.0162149644023424,mock_ok
70,55.2,0.5383064965811124,0.5526132398805025,0.5526132398805025,0.01430674329939006,0.014306743299390079,339.2732416813674,37.82425584117956,5.5777031497277045,0.29295783900416905,-62.214765100671144,0.35369127516778526,1.3704697986577181,3.4630872483221475,3.132955974017956,121.26888259338588,1.0027567190996178,mock_ok
71,55.2,0.5526132398805025,0.5670477489944682,0.5670477489944682,0.014434509113965658,0.01443450911396571,338.59796322077653,37.99277446300238,5.570364148265379,0.29668007744114633,-61.81208053691275,0.3530201342281879,1.3758389261744965,3.469798657718121,3.1742794761165443,124.44316206950242,0.9897026009295373,mock_ok
72,55.2,0.5670477489944682,0.5816066351716067,0.5816066351716067,0.014558886177138467,0.01455888617713852,337.92915369895564,38.156108524243486,5.5631093693473135,0.30037525688018146,-61.40939597315436,0.3523489932885906,1.3812080536912752,3.476510067114094,3.2154319746501963,127.65859404415262,0.9770359560884705,mock_ok
73,55.2,0.5816066351716067,0.5962865151417873,0.5962865151417873,0.01467987997018061,0.01467987997018061,337.2667449749896,38.31433148337657,5.555938916606751,0.30404367512525465,-61.006711409395976,0.3516778523489933,1.3865771812080538,3.4832214765100673,3.2564104254153254,130.91500446956795,0.9647410010330967,mock_ok
74,55.2,0.5962865151417873,0.611084011132959,0.611084011132959,0.014797495991171687,0.014797495991171639,336.6106699990402,38.46751355516975,5.548852886663739,0.3076856233882832,-60.604026845637584,0.351006711409396,1.3919463087248323,3.48993288590604,3.297211924771665,134.2122163943396,0.9528027695118054,mock_ok
75,55.2,0.611084011132959,0.6259957508952307,0.6259957508952307,0.014911739762271831,0.01491173976227178,335.960862791765,38.61572187888222,5.541851369752598,0.31130138646661926,-60.20134228187919,0.3503355704697987,1.3973154362416107,3.4966442953020134,3.33783369956547,137.55005009390507,0.9412070631316282,mock_ok
76,55.2,0.6259957508952307,0.6410183677326462,0.6410183677326462,0.015022616837415468,0.015022616837415459,335.3172584242131,38.759020675728465,5.534934450295822,0.31489124292886106,-59.7986577181208,0.3496644295302013,1.4026845637583893,3.5033557046979866,3.378273097883772,140.92832319178885,0.9299404052199803,mock_ok
77,55.2,0.6410183677326462,0.656148500542899,0.656148500542899,0.015130132810252819,0.015130132810252772,334.67979299818415,38.89747139629107,5.5281022074302,0.31845546530578034,-59.39597315436241,0.348993288590604,1.4080536912751678,3.51006711409396,3.418527580560661,144.3468507723495,0.9189899977564467,mock_ok
78,55.2,0.656148500542899,0.6713827938650997,0.6713827938650997,0.015234293322200745,0.01523429332220072,334.0484036270388,39.03113285852813,5.5213547154902125,0.3219943202838027,-58.993288590604024,0.3483221476510067,1.4134228187919464,3.5167785234899327,3.458594713369372,147.80544548571888,0.9083436811621229,mock_ok
79,55.2,0.6713827938650997,0.6867178979355918,0.6867178979355918,0.01533510407049214,0.0153351040704921,333.4230284169488,39.160061376984764,5.5146920444531835,0.32550806889898404,-58.59060402684564,0.3476510067114094,1.4187919463087248,3.523489932885906,3.498472159843197,151.30391764556208,0.8979898967469847,mock_ok
80,55.2,0.6867178979355918,0.702150468751725,0.702150468751725,0.015432570816133216,0.015432570816133251,332.80360644857444,39.28431088377804,5.508114260350188,0.32899696672978285,-58.18791946308725,0.34697986577181206,1.4241610738255033,3.530201342281879,3.5381576746651078,154.8420753202272,0.8879176516312688,mock_ok
81,55.2,0.702150468751725,0.7176771681434232,0.7176771681434232,0.015526699391698129,0.015526699391698151,332.19007775915924,39.40393304189079,5.501621425646302,0.3324612640873022,-57.785234899328856,0.34630872483221475,1.429530201342282,3.5369127516778525,3.577649097575685,158.41972441780288,0.878116485968013,mock_ok
